id,observed_on,url,image_url,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
338400845,2026-02-11,https://www.inaturalist.org/observations/338400845,https://static.inaturalist.org/photos/615398244/medium.jpg,Taraxia ovata,Sun Cup,Onagraceae,Taraxia,Taraxia ovata
338405061,2026-02-12,https://www.inaturalist.org/observations/338405061,https://inaturalist-open-data.s3.amazonaws.com/photos/615406783/medium.jpg,Arctostaphylos crustacea,Brittleleaf Manzanita,Ericaceae,Arctostaphylos,Arctostaphylos crustacea
338457661,2026-02-13,https://www.inaturalist.org/observations/338457661,https://inaturalist-open-data.s3.amazonaws.com/photos/616560082/medium.jpg,Sanicula crassicaulis,Pacific Sanicle,Apiaceae,Sanicula,Sanicula crassicaulis
338462351,2026-02-13,https://www.inaturalist.org/observations/338462351,https://inaturalist-open-data.s3.amazonaws.com/photos/616573920/medium.jpg,Adelinia grandis,Pacific hound's tongue,Boraginaceae,Adelinia,Adelinia grandis
338463888,2026-02-13,https://www.inaturalist.org/observations/338463888,https://static.inaturalist.org/photos/615535551/medium.jpg,Genista monspessulana,French broom,Fabaceae,Genista,Genista monspessulana
338464748,2026-02-13,https://www.inaturalist.org/observations/338464748,https://inaturalist-open-data.s3.amazonaws.com/photos/615531621/medium.jpg,Plantago lanceolata,ribwort plantain,Plantaginaceae,Plantago,Plantago lanceolata
338470630,2026-02-13,https://www.inaturalist.org/observations/338470630,https://static.inaturalist.org/photos/615542750/medium.jpg,Oxalis pes-caprae,Bermuda buttercup,Oxalidaceae,Oxalis,Oxalis pes-caprae
338471906,2026-02-13,https://www.inaturalist.org/observations/338471906,https://static.inaturalist.org/photos/615545449/medium.jpg,Eschscholzia californica,California poppy,Papaveraceae,Eschscholzia,Eschscholzia californica
338472069,2026-02-13,https://www.inaturalist.org/observations/338472069,https://inaturalist-open-data.s3.amazonaws.com/photos/615545724/medium.jpg,Notholithocarpus densiflorus,Tanoak,Fagaceae,Notholithocarpus,Notholithocarpus densiflorus
338472070,2026-02-13,https://www.inaturalist.org/observations/338472070,https://inaturalist-open-data.s3.amazonaws.com/photos/615545738/medium.jpg,Adelinia grandis,Pacific hound's tongue,Boraginaceae,Adelinia,Adelinia grandis
338475447,2026-02-13,https://www.inaturalist.org/observations/338475447,https://inaturalist-open-data.s3.amazonaws.com/photos/615551981/medium.jpg,Calendula arvensis,field marigold,Asteraceae,Calendula,Calendula arvensis
338475666,2026-02-13,https://www.inaturalist.org/observations/338475666,https://inaturalist-open-data.s3.amazonaws.com/photos/615552217/medium.jpg,Marrubium vulgare,White Horehound,Lamiaceae,Marrubium,Marrubium vulgare
338475691,2026-02-13,https://www.inaturalist.org/observations/338475691,https://inaturalist-open-data.s3.amazonaws.com/photos/615552303/medium.jpg,Fragaria vesca,woodland strawberry,Rosaceae,Fragaria,Fragaria vesca
338475728,2026-02-13,https://www.inaturalist.org/observations/338475728,https://inaturalist-open-data.s3.amazonaws.com/photos/615552380/medium.jpg,Fumaria capreolata,white ramping-fumitory,Papaveraceae,Fumaria,Fumaria capreolata
338475767,2026-02-13,https://www.inaturalist.org/observations/338475767,https://inaturalist-open-data.s3.amazonaws.com/photos/615552469/medium.jpg,Lobularia maritima,sweet alyssum,Brassicaceae,Lobularia,Lobularia maritima
338475831,2026-02-13,https://www.inaturalist.org/observations/338475831,https://inaturalist-open-data.s3.amazonaws.com/photos/615552623/medium.jpg,Sixalix atropurpurea,Sweet scabious,Caprifoliaceae,Sixalix,Sixalix atropurpurea
338476308,2026-02-13,https://www.inaturalist.org/observations/338476308,https://inaturalist-open-data.s3.amazonaws.com/photos/616574040/medium.jpg,Epipactis helleborine,Broad-leaved helleborine,Orchidaceae,Epipactis,Epipactis helleborine
338479358,2026-02-13,https://www.inaturalist.org/observations/338479358,https://inaturalist-open-data.s3.amazonaws.com/photos/615560145/medium.jpg,Calendula arvensis,field marigold,Asteraceae,Calendula,Calendula arvensis
338480099,2026-02-13,https://www.inaturalist.org/observations/338480099,https://inaturalist-open-data.s3.amazonaws.com/photos/615562297/medium.jpg,Cardamine californica,milkmaids,Brassicaceae,Cardamine,Cardamine californica
338486313,2026-02-13,https://www.inaturalist.org/observations/338486313,https://inaturalist-open-data.s3.amazonaws.com/photos/616574276/medium.jpg,Stachys bullata,California Hedge Nettle,Lamiaceae,Stachys,Stachys bullata
338486426,2026-02-13,https://www.inaturalist.org/observations/338486426,https://inaturalist-open-data.s3.amazonaws.com/photos/616574498/medium.jpg,Aesculus californica,California buckeye,Sapindaceae,Aesculus,Aesculus californica
338486476,2026-02-13,https://www.inaturalist.org/observations/338486476,https://inaturalist-open-data.s3.amazonaws.com/photos/615575314/medium.jpg,Vicia sativa,Common Vetch,Fabaceae,Vicia,Vicia sativa
338486517,2026-02-13,https://www.inaturalist.org/observations/338486517,https://inaturalist-open-data.s3.amazonaws.com/photos/615575432/medium.jpg,Lysimachia arvensis,scarlet pimpernel,Primulaceae,Lysimachia,Lysimachia arvensis
338486548,2026-02-13,https://www.inaturalist.org/observations/338486548,https://inaturalist-open-data.s3.amazonaws.com/photos/615575530/medium.jpg,Medicago polymorpha,bur clover,Fabaceae,Medicago,Medicago polymorpha
338486972,2026-02-13,https://www.inaturalist.org/observations/338486972,https://inaturalist-open-data.s3.amazonaws.com/photos/615576088/medium.jpg,Carduus pycnocephalus,Italian thistle,Asteraceae,Carduus,Carduus pycnocephalus
338489329,2026-02-13,https://www.inaturalist.org/observations/338489329,https://inaturalist-open-data.s3.amazonaws.com/photos/615580955/medium.jpg,Trillium ovatum,Pacific trillium,Melanthiaceae,Trillium,Trillium ovatum
338489378,2026-02-13,https://www.inaturalist.org/observations/338489378,https://inaturalist-open-data.s3.amazonaws.com/photos/615581061/medium.jpg,Anemonoides grayi,Gray's anemone,Ranunculaceae,Anemonoides,Anemonoides grayi
338494501,2026-02-10,https://www.inaturalist.org/observations/338494501,https://inaturalist-open-data.s3.amazonaws.com/photos/615590271/medium.jpg,Ceanothus thyrsiflorus,blueblossom,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus
338494567,2026-02-13,https://www.inaturalist.org/observations/338494567,https://inaturalist-open-data.s3.amazonaws.com/photos/615597308/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
338508526,2026-02-12,https://www.inaturalist.org/observations/338508526,https://inaturalist-open-data.s3.amazonaws.com/photos/615622345/medium.jpg,Trillium ovatum,Pacific trillium,Melanthiaceae,Trillium,Trillium ovatum
