CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 045/100 || Training Loss: 0.647396 || Avg Training Loss: 0.190648 || Training Accuracy: 0.942052 || Runtime: 0.14 mins
Epoch: 046/100 || Training Loss: 0.155995 || Avg Training Loss: 0.181135 || Training Accuracy: 0.942503 || Runtime: 0.13 mins
Epoch: 047/100 || Training Loss: 0.509464 || Avg Training Loss: 0.154581 || Training Accuracy: 0.951522 || Runtime: 0.14 mins
Epoch: 048/100 || Training Loss: 0.167837 || Avg Training Loss: 0.183456 || Training Accuracy: 0.944081 || Runtime: 0.13 mins
Epoch: 049/100 || Training Loss: 0.209662 || Avg Training Loss: 0.167076 || Training Accuracy: 0.945885 || Runtime: 0.13 mins
Epoch: 050/100 || Training Loss: 0.320924 || Avg Training Loss: 0.158171 || Training Accuracy: 0.953551 || Runtime: 0.14 mins
Epoch: 051/100 || Training Loss: 0.576957 || Avg Training Loss: 0.155912 || Training Accuracy: 0.952198 || Runtime: 0.14 mins
Epoch: 052/100 || Training Loss: 0.033782 || Avg Training Loss: 0.138287 || Training Accuracy: 0.957610 || Runtime: 0.14 mins
Epoch: 053/100 || Training Loss: 0.121067 || Avg Training Loss: 0.146473 || Training Accuracy: 0.956483 || Runtime: 0.14 mins
Epoch: 054/100 || Training Loss: 0.030389 || Avg Training Loss: 0.139031 || Training Accuracy: 0.954228 || Runtime: 0.13 mins
Epoch: 055/100 || Training Loss: 0.104850 || Avg Training Loss: 0.128245 || Training Accuracy: 0.957835 || Runtime: 0.14 mins
Epoch: 056/100 || Training Loss: 0.221224 || Avg Training Loss: 0.135226 || Training Accuracy: 0.958512 || Runtime: 0.14 mins
Epoch: 057/100 || Training Loss: 0.349958 || Avg Training Loss: 0.141529 || Training Accuracy: 0.960316 || Runtime: 0.14 mins
Epoch: 058/100 || Training Loss: 0.053593 || Avg Training Loss: 0.134015 || Training Accuracy: 0.957384 || Runtime: 0.14 mins
Epoch: 059/100 || Training Loss: 0.632533 || Avg Training Loss: 0.146709 || Training Accuracy: 0.954453 || Runtime: 0.13 mins
Epoch: 060/100 || Training Loss: 0.256125 || Avg Training Loss: 0.131853 || Training Accuracy: 0.959414 || Runtime: 0.14 mins
Epoch: 061/100 || Training Loss: 0.056642 || Avg Training Loss: 0.129906 || Training Accuracy: 0.961669 || Runtime: 0.14 mins
Epoch: 062/100 || Training Loss: 0.064561 || Avg Training Loss: 0.128147 || Training Accuracy: 0.959188 || Runtime: 0.14 mins
Epoch: 063/100 || Training Loss: 0.041511 || Avg Training Loss: 0.102048 || Training Accuracy: 0.968433 || Runtime: 0.14 mins
Epoch: 064/100 || Training Loss: 0.054737 || Avg Training Loss: 0.091167 || Training Accuracy: 0.972943 || Runtime: 0.14 mins
Epoch: 065/100 || Training Loss: 0.154474 || Avg Training Loss: 0.111135 || Training Accuracy: 0.965276 || Runtime: 0.14 mins
Epoch: 066/100 || Training Loss: 0.012108 || Avg Training Loss: 0.107459 || Training Accuracy: 0.965051 || Runtime: 0.14 mins
Epoch: 067/100 || Training Loss: 0.382986 || Avg Training Loss: 0.120028 || Training Accuracy: 0.963021 || Runtime: 0.14 mins
Epoch: 068/100 || Training Loss: 0.107587 || Avg Training Loss: 0.131391 || Training Accuracy: 0.958737 || Runtime: 0.13 mins
Epoch: 069/100 || Training Loss: 0.080809 || Avg Training Loss: 0.113948 || Training Accuracy: 0.963698 || Runtime: 0.14 mins
Epoch: 070/100 || Training Loss: 0.101232 || Avg Training Loss: 0.106391 || Training Accuracy: 0.969560 || Runtime: 0.14 mins
