CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 045/100 || Training Loss: 0.751187 || Avg Training Loss: 0.482544 || Training Accuracy: 0.848929 || Runtime: 0.13 mins
Epoch: 046/100 || Training Loss: 0.705572 || Avg Training Loss: 0.448830 || Training Accuracy: 0.855919 || Runtime: 0.13 mins
Epoch: 047/100 || Training Loss: 0.280985 || Avg Training Loss: 0.497732 || Training Accuracy: 0.845998 || Runtime: 0.13 mins
Epoch: 048/100 || Training Loss: 0.694212 || Avg Training Loss: 0.439042 || Training Accuracy: 0.863811 || Runtime: 0.13 mins
Epoch: 049/100 || Training Loss: 0.383364 || Avg Training Loss: 0.409631 || Training Accuracy: 0.872153 || Runtime: 0.13 mins
Epoch: 050/100 || Training Loss: 0.564884 || Avg Training Loss: 0.394761 || Training Accuracy: 0.875310 || Runtime: 0.13 mins
Epoch: 051/100 || Training Loss: 0.179262 || Avg Training Loss: 0.384503 || Training Accuracy: 0.883202 || Runtime: 0.13 mins
Epoch: 052/100 || Training Loss: 0.632655 || Avg Training Loss: 0.355401 || Training Accuracy: 0.888613 || Runtime: 0.12 mins
Epoch: 053/100 || Training Loss: 0.159492 || Avg Training Loss: 0.370177 || Training Accuracy: 0.882300 || Runtime: 0.13 mins
Epoch: 054/100 || Training Loss: 0.414042 || Avg Training Loss: 0.360113 || Training Accuracy: 0.882751 || Runtime: 0.13 mins
Epoch: 055/100 || Training Loss: 0.365743 || Avg Training Loss: 0.341072 || Training Accuracy: 0.891995 || Runtime: 0.13 mins
Epoch: 056/100 || Training Loss: 0.115927 || Avg Training Loss: 0.334220 || Training Accuracy: 0.897632 || Runtime: 0.13 mins
Epoch: 057/100 || Training Loss: 0.478503 || Avg Training Loss: 0.310712 || Training Accuracy: 0.904848 || Runtime: 0.13 mins
Epoch: 058/100 || Training Loss: 0.300003 || Avg Training Loss: 0.345724 || Training Accuracy: 0.893348 || Runtime: 0.13 mins
Epoch: 059/100 || Training Loss: 0.151141 || Avg Training Loss: 0.359922 || Training Accuracy: 0.889966 || Runtime: 0.13 mins
Epoch: 060/100 || Training Loss: 0.328862 || Avg Training Loss: 0.322928 || Training Accuracy: 0.900564 || Runtime: 0.13 mins
Epoch: 061/100 || Training Loss: 0.393428 || Avg Training Loss: 0.347370 || Training Accuracy: 0.889741 || Runtime: 0.13 mins
Epoch: 062/100 || Training Loss: 0.047981 || Avg Training Loss: 0.308537 || Training Accuracy: 0.901917 || Runtime: 0.13 mins
Epoch: 063/100 || Training Loss: 0.656982 || Avg Training Loss: 0.318987 || Training Accuracy: 0.902368 || Runtime: 0.13 mins
Epoch: 064/100 || Training Loss: 0.680561 || Avg Training Loss: 0.345164 || Training Accuracy: 0.891770 || Runtime: 0.13 mins
Epoch: 065/100 || Training Loss: 0.701044 || Avg Training Loss: 0.345215 || Training Accuracy: 0.893574 || Runtime: 0.13 mins
Epoch: 066/100 || Training Loss: 0.613362 || Avg Training Loss: 0.296591 || Training Accuracy: 0.904622 || Runtime: 0.13 mins
Epoch: 067/100 || Training Loss: 0.340142 || Avg Training Loss: 0.303424 || Training Accuracy: 0.905975 || Runtime: 0.13 mins
Epoch: 068/100 || Training Loss: 0.409469 || Avg Training Loss: 0.300735 || Training Accuracy: 0.903720 || Runtime: 0.12 mins
Epoch: 069/100 || Training Loss: 0.664699 || Avg Training Loss: 0.270026 || Training Accuracy: 0.915671 || Runtime: 0.13 mins
Epoch: 070/100 || Training Loss: 0.104194 || Avg Training Loss: 0.279276 || Training Accuracy: 0.916122 || Runtime: 0.13 mins
Epoch: 071/100 || Training Loss: 0.273402 || Avg Training Loss: 0.246232 || Training Accuracy: 0.924014 || Runtime: 0.13 mins
Epoch: 072/100 || Training Loss: 0.227359 || Avg Training Loss: 0.262350 || Training Accuracy: 0.919955 || Runtime: 0.13 mins
Epoch: 073/100 || Training Loss: 0.725621 || Avg Training Loss: 0.222005 || Training Accuracy: 0.931229 || Runtime: 0.13 mins
Epoch: 074/100 || Training Loss: 0.804239 || Avg Training Loss: 0.263546 || Training Accuracy: 0.920631 || Runtime: 0.13 mins
Epoch: 075/100 || Training Loss: 0.376955 || Avg Training Loss: 0.287964 || Training Accuracy: 0.911161 || Runtime: 0.13 mins
Epoch: 076/100 || Training Loss: 0.219708 || Avg Training Loss: 0.225403 || Training Accuracy: 0.927396 || Runtime: 0.13 mins
Epoch: 077/100 || Training Loss: 0.353886 || Avg Training Loss: 0.251916 || Training Accuracy: 0.924915 || Runtime: 0.13 mins
Epoch: 078/100 || Training Loss: 0.192048 || Avg Training Loss: 0.248669 || Training Accuracy: 0.923788 || Runtime: 0.13 mins
Epoch: 079/100 || Training Loss: 0.033936 || Avg Training Loss: 0.235732 || Training Accuracy: 0.931905 || Runtime: 0.13 mins
Epoch: 080/100 || Training Loss: 0.117326 || Avg Training Loss: 0.226612 || Training Accuracy: 0.926494 || Runtime: 0.12 mins
Epoch: 081/100 || Training Loss: 0.004788 || Avg Training Loss: 0.188479 || Training Accuracy: 0.941150 || Runtime: 0.13 mins
Epoch: 082/100 || Training Loss: 0.025324 || Avg Training Loss: 0.212188 || Training Accuracy: 0.939121 || Runtime: 0.13 mins
Epoch: 083/100 || Training Loss: 1.048758 || Avg Training Loss: 0.202178 || Training Accuracy: 0.941375 || Runtime: 0.13 mins
Epoch: 084/100 || Training Loss: 1.044688 || Avg Training Loss: 0.285346 || Training Accuracy: 0.919729 || Runtime: 0.13 mins
Epoch: 085/100 || Training Loss: 0.269105 || Avg Training Loss: 0.231006 || Training Accuracy: 0.929876 || Runtime: 0.13 mins
Epoch: 086/100 || Training Loss: 0.270610 || Avg Training Loss: 0.255366 || Training Accuracy: 0.924464 || Runtime: 0.13 mins
Epoch: 087/100 || Training Loss: 0.306385 || Avg Training Loss: 0.268357 || Training Accuracy: 0.917475 || Runtime: 0.13 mins
Epoch: 088/100 || Training Loss: 1.314000 || Avg Training Loss: 0.250768 || Training Accuracy: 0.926494 || Runtime: 0.13 mins
Epoch: 089/100 || Training Loss: 0.336375 || Avg Training Loss: 0.263159 || Training Accuracy: 0.918602 || Runtime: 0.13 mins
Epoch: 090/100 || Training Loss: 0.023740 || Avg Training Loss: 0.255078 || Training Accuracy: 0.923788 || Runtime: 0.12 mins
Epoch: 091/100 || Training Loss: 0.092038 || Avg Training Loss: 0.209914 || Training Accuracy: 0.934611 || Runtime: 0.13 mins
Epoch: 092/100 || Training Loss: 0.068528 || Avg Training Loss: 0.208214 || Training Accuracy: 0.937768 || Runtime: 0.13 mins
Epoch: 093/100 || Training Loss: 0.180946 || Avg Training Loss: 0.215097 || Training Accuracy: 0.936415 || Runtime: 0.13 mins
Epoch: 094/100 || Training Loss: 0.197567 || Avg Training Loss: 0.195414 || Training Accuracy: 0.940023 || Runtime: 0.13 mins
Epoch: 095/100 || Training Loss: 0.028838 || Avg Training Loss: 0.187586 || Training Accuracy: 0.944758 || Runtime: 0.13 mins
Epoch: 096/100 || Training Loss: 0.260076 || Avg Training Loss: 0.186378 || Training Accuracy: 0.944081 || Runtime: 0.12 mins
Epoch: 097/100 || Training Loss: 0.224452 || Avg Training Loss: 0.181965 || Training Accuracy: 0.947463 || Runtime: 0.13 mins
Epoch: 098/100 || Training Loss: 0.335597 || Avg Training Loss: 0.198757 || Training Accuracy: 0.935964 || Runtime: 0.13 mins
Epoch: 099/100 || Training Loss: 0.027588 || Avg Training Loss: 0.206214 || Training Accuracy: 0.940699 || Runtime: 0.13 mins
Epoch: 100/100 || Training Loss: 0.570673 || Avg Training Loss: 0.212863 || Training Accuracy: 0.941150 || Runtime: 0.13 mins

Testing Phase
Test Loss: 12.409841537475586 || Testing Accuracy: 0.524221
Total time: 14.91
